name,estimated_hours,prerequisites,skills,concept_overlap_group,module_list,course_description,course_type,industry_relevance,job_market_demand,skill_level,skill_category,core_skills,prerequisite_level,recommended_background,next_courses,target_roles,career_importance,learning_outcomes,practical_application,assessment_method,difficulty_score,num_prerequisites,num_skills,difficulty_Advanced,difficulty_Beginner,difficulty_Intermediate,category_Arts And Humanities,category_Business,category_Computer Science,category_Data Science,category_Health,category_Information Technology,category_Language Learning,category_Math And Logic,category_Personal Development,category_Physical Science And Engineering,category_Social Sciences,goal_role_AI Engineer,goal_role_Backend Developer,goal_role_Data Analyst,goal_role_Data Scientist,goal_role_Full Stack,goal_role_ML Engineer,difficulty,learning_load,skill_density,prerequisite_density,learning_complexity
IBM COBOL Basics,1.4098520091969289,Computational Logic,"Computational Logic, Programming Principles, Stored Procedure, Mainframe Computing, Editing, Debugging, COBOL (Programming Language), File Management, Data Structures, Program Development",9,Not Specified,Introduces key concepts and practical applications of None.,Computer Science,High,High,Advanced,Computer Science,Computational Logic; Programming Principles; Stored Procedure; Mainframe Computing; Editing,Intermediate Knowledge Required,Relevant fundamentals based on prerequisites.,To be recommended,AI Engineer,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,5,0.0,-0.4622313838783437,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2,1.4098520091969289,-0.8094868270030399,0.017543859649122806,50
Low Intermediate English: Technology,-1.2931509299207375,Grammar,"Grammar, Vocabulary, Technology Solutions, Language Learning, Education Software and Technology, Health Technology, Data Security, Emerging Technologies, Technical Communication, End User Training and Support, English Language, Oral Comprehension, Telecommuting",80,"Talk about devices, apps, and other technology that you use in your everyday life.
Talk about devices, apps, and other t",Introduces key concepts and practical applications of None.,Language Learning,High,High,Intermediate,Language Learning,Grammar; Vocabulary; Technology Solutions; Language Learning; Education Software and Technology,Basic Knowledge Required,Relevant fundamentals based on prerequisites.,To be recommended,Data Analyst,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,3,0.0,0.34870086853980276,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,1,-1.2931509299207375,1.2419177302792532,0.06666666666666667,39
Studying at Japanese Universities,1.6029236477053337,Cultural Sensitivity,"Cultural Sensitivity, Language Learning, Cultural Diversity, Research, Intercultural Competence, Higher Education",40,"Japanese university application, enrollment processes, and the different types of programs offered
Japanese university a",Introduces key concepts and practical applications of None.,Personal Development,High,High,Advanced,Personal Development,Cultural Sensitivity; Language Learning; Cultural Diversity; Research; Intercultural Competence,Intermediate Knowledge Required,Relevant fundamentals based on prerequisites.,To be recommended,Data Analyst,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,5,0.0,-1.543474387102539,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,2,1.6029236477053337,-1.0333710807165895,0.016666666666666666,30
Introduction to Generative AI for Developers With Copilot,1.0237087321801193,Software Development Tools,"Software Development Tools, Code Review, Microsoft Copilot, Generative AI, Responsible AI, Artificial Intelligence, Data Ethics, Software Documentation, Prompt Engineering",41,Not Specified,Introduces key concepts and practical applications of None.,Computer Science,High,High,Intermediate,Computer Science,Software Development Tools; Code Review; Microsoft Copilot; Generative AI; Responsible AI,Basic Knowledge Required,Relevant fundamentals based on prerequisites.,To be recommended,AI Engineer,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,3,0.0,-0.7325421346843926,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,1.0237087321801193,-0.8064241149139353,0.0196078431372549,27
EU policy and implementation: making Europe work!,1.5385664348691988,Policy Analysis,"Policy Analysis, Public Policies, Program Evaluation, Governance, Environmental Policy, Research Methodologies, Economics, Policy, and Social Studies, Immigration Law, Policy Development",4,Not Specified,Introduces key concepts and practical applications of None.,Social Sciences,High,High,Intermediate,Social Sciences,Policy Analysis; Public Policies; Program Evaluation; Governance; Environmental Policy,Basic Knowledge Required,Relevant fundamentals based on prerequisites.,To be recommended,Data Analyst,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,3,0.0,-0.1919206330722949,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,1.5385664348691988,-0.7768352015107208,0.01694915254237288,33
Music Composition: Starting a Piece,-0.32779273737871384,Instrumental Music,"Instrumental Music, Music, Creativity, Musical Composition, Classical Music, Music Theory",73,"Develop strategies for starting a new piece
Develop strategies for starting a new piece
Compose short pieces
Compose sho",Introduces key concepts and practical applications of None.,Arts And Humanities,High,High,Beginner,Arts And Humanities,Instrumental Music; Music; Creativity; Musical Composition; Classical Music,Not Specified,Relevant fundamentals based on prerequisites.,To be recommended,Data Analyst,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,1,0.0,-1.543474387102539,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,-0.32779273737871384,-0.7365942792823492,0.03333333333333333,6
Decentralized Finance (DeFi) Infrastructure,1.5385664348691988,Blockchain,"Blockchain, Financial Regulation, Financial Inclusion, Financial Systems, Governance, Digital Assets, Cryptography, Computer Security, Banking, Interoperability, Encryption, Payment Systems, FinTech",73,"Articulate the history and origins of decentralized finance
Articulate the history and origins of decentralized finance
",Introduces key concepts and practical applications of None.,Business,High,High,Advanced,Business,Blockchain; Financial Regulation; Financial Inclusion; Financial Systems; Governance,Intermediate Knowledge Required,Relevant fundamentals based on prerequisites.,To be recommended,Data Scientist,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,5,0.0,0.34870086853980276,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2,1.5385664348691988,-0.6762328959397919,0.01694915254237288,65
Social Psychology of Attraction and Relationships,1.216780370688524,Cultural Diversity,"Cultural Diversity, Relationship Building, Human Relations Movement, Interpersonal Communications, Psychology, Research, Relationship Management, Behavioral Management",18,Describe foundational concepts in how psychology understands relationships. Identify how each of the four determinants o,Introduces key concepts and practical applications of None.,Personal Development,High,High,Beginner,Personal Development,Cultural Diversity; Relationship Building; Human Relations Movement; Interpersonal Communications; Psychology,Not Specified,Relevant fundamentals based on prerequisites.,To be recommended,Data Analyst,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,1,0.0,-1.0028528854904413,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,0,1.216780370688524,-0.8904785466926961,0.018518518518518517,8
Introduction to Self-Driving Cars,0.05835053963809563,Computer Hardware,"Computer Hardware, Mechanics, Systems Architecture, Automation, Simulation and Simulation Software, Hardware Architecture, Safety Assurance, Mathematical Modeling, Software Architecture, Control Systems",23,"Understand commonly used hardware used for self-driving cars
Understand commonly used hardware used for self-driving car",Introduces key concepts and practical applications of None.,Computer Science,High,High,Advanced,Computer Science,Computer Hardware; Mechanics; Systems Architecture; Automation; Simulation and Simulation Software,Intermediate Knowledge Required,Relevant fundamentals based on prerequisites.,To be recommended,ML Engineer,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,5,0.0,-0.4622313838783437,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2,0.05835053963809563,-0.5057678781668289,0.027777777777777776,50
Linear Algebra: Orthogonality and Diagonalization,-0.6495788015593884,Applied Mathematics,"Applied Mathematics, Geometry, Linear Algebra, Numerical Analysis, Mathematical Modeling, Artificial Intelligence and Machine Learning (AI/ML)",32,Not Specified,Introduces key concepts and practical applications of None.,Data Science,High,High,Beginner,Data Science,Applied Mathematics; Geometry; Linear Algebra; Numerical Analysis; Mathematical Modeling,Not Specified,Relevant fundamentals based on prerequisites.,To be recommended,Data Scientist,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,1,0.0,-1.543474387102539,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0,-0.6495788015593884,-0.6178835587086531,0.04,6
Introduction to Hardware and Operating Systems,1.6029236477053337,Disaster Recovery,"Disaster Recovery, Linux, User Accounts, System Configuration, Hardware Troubleshooting, Mac OS, Operating Systems, Software Installation, USB, File Systems, Computer Hardware, Computing Platforms, Computer Architecture, Computer Systems, Technical Support, Network Infrastructure, Data Storage, Virtualization and Virtual Machines, Peripheral Devices, Virtual Machines",4,"Identify the hardware components of desktops, laptops, and other devices, plus operating system functions, settings, and",Introduces key concepts and practical applications of None.,Information Technology,High,High,Advanced,Information Technology,Disaster Recovery; Linux; User Accounts; System Configuration; Hardware Troubleshooting,Intermediate Knowledge Required,Relevant fundamentals based on prerequisites.,To be recommended,ML Engineer,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,5,0.0,2.2408761241821447,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,2,1.6029236477053337,-0.34089187737002885,0.016666666666666666,100
Introduction to Operations Management,-0.5852215887232535,Operational Efficiency,"Operational Efficiency, Process Analysis, Continuous Improvement Process, Supply Chain Management, Inventory Management System, Operations Management, Process Improvement, Statistical Process Controls, Lean Methodologies, Process Management, Workflow Management, Capacity Planning, Quality Management, Root Cause Analysis, Process Flow Diagrams",19,"You will learn to analyze processes, optimize flow, and manage variability, driving improvements and achieving excellenc",Introduces key concepts and practical applications of None.,Business,High,High,Intermediate,Business,Operational Efficiency; Process Analysis; Continuous Improvement Process; Supply Chain Management; Inventory Management System,Basic Knowledge Required,Relevant fundamentals based on prerequisites.,To be recommended,AI Engineer,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,3,0.0,0.8893223701519004,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,-0.5852215887232535,0.3820259722774796,0.038461538461538464,45
Creating a Workplace People Want to Be,1.1524231578523891,Culture Transformation,"Culture Transformation, Resilience, Communication, Organizational Leadership, Workplace Bullying Intervention, Strategic Leadership, Mental Health, Employee Engagement, Stress Management, Organizational Development, Leadership, Employee Performance Management, Occupational Safety And Health, Diversity Equity and Inclusion Initiatives",1,"Learn how to shape policies that reduce stigma, create support systems, and ensure leadership at all levels is equipped ",Introduces key concepts and practical applications of None.,Social Sciences,High,High,Beginner,Social Sciences,Culture Transformation; Resilience; Communication; Organizational Leadership; Workplace Bullying Intervention,Not Specified,Relevant fundamentals based on prerequisites.,To be recommended,Data Scientist,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,1,0.0,0.6190116193458516,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,0,1.1524231578523891,-0.5462091613811384,0.018867924528301886,14
Applied Machine Learning in Python,0.5732082423271749,Predictive Modeling,"Predictive Modeling, Python Programming, Regression Analysis, Applied Machine Learning, Scikit Learn (Machine Learning Library), Feature Engineering, Decision Tree Learning, Machine Learning, Random Forest Algorithm, Dimensionality Reduction, Unsupervised Learning, Supervised Learning",73,"Describe how machine learning is different than descriptive statistics
Describe how machine learning is different than d",Introduces key concepts and practical applications of None.,Data Science,High,High,Beginner,Data Science,Predictive Modeling; Python Programming; Regression Analysis; Applied Machine Learning; Scikit Learn (Machine Learning Library),Not Specified,Relevant fundamentals based on prerequisites.,To be recommended,ML Engineer,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,1,0.0,0.07839011773375393,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.5732082423271749,-0.5207566055119927,0.022727272727272728,12
SOP Writing Mastery: Craft Statements That Stand Out,1.6029236477053337,Concision,"Concision, Self-Awareness, Intercultural Competence, Storytelling, Adaptability, Constructive Feedback, Continuous Improvement Process, Content Creation, Generative AI Agents, Writing, Editing",54,"Understand the structure, role, and significance of SOPs in academic admissions and professional applications to strengt",Introduces key concepts and practical applications of None.,Personal Development,High,High,Intermediate,Personal Development,Concision; Self-Awareness; Intercultural Competence; Storytelling; Adaptability,Basic Knowledge Required,Relevant fundamentals based on prerequisites.,To be recommended,Data Scientist,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,3,0.0,-0.1919206330722949,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,1,1.6029236477053337,-0.7860570795213894,0.016666666666666666,33
Snowflake - Build and Architect Data Pipelines Using AWS,-0.5208643758871186,Data Lakes,"Data Lakes, Apache Kafka, Real Time Data, Performance Tuning, SQL, Data Processing, Data Architecture, Snowflake Schema, Amazon Web Services, Data Pipelines, Apache Airflow, Amazon S3, PySpark, Data Governance, Stored Procedure, Data Infrastructure, Extract, Transform, Load, Data Security, Data Warehousing, Data Management",43,"Architect and optimize scalable data pipelines with Snowflake and AWS.
Architect and optimize scalable data pipelines wi",Introduces key concepts and practical applications of None.,Information Technology,High,High,Beginner,Information Technology,Data Lakes; Apache Kafka; Real Time Data; Performance Tuning; SQL,Not Specified,Relevant fundamentals based on prerequisites.,To be recommended,Data Analyst,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,1,0.0,2.781497625794242,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,0,-0.5208643758871186,1.0880334628689061,0.037037037037037035,22
Learning for a Sustainable Future,1.1524231578523891,Sustainability Standards,"Sustainability Standards, Collaboration, Environmental Issue, Action Oriented, Teaching, Personal Development, Sustainable Development, Socioeconomics, Complex Problem Solving, Self-Awareness, Systems Thinking, Cultural Diversity, Visionary",33,"Critically reflect upon understandings of the range, scope and nature of 'sustainability'; and consider the role of pers",Introduces key concepts and practical applications of None.,Physical Science And Engineering,High,High,Beginner,Physical Science And Engineering,Sustainability Standards; Collaboration; Environmental Issue; Action Oriented; Teaching,Not Specified,Relevant fundamentals based on prerequisites.,To be recommended,Backend Developer,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,1,0.0,0.34870086853980276,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,0,1.1524231578523891,-0.6022047842932593,0.018867924528301886,13
Airside Facility Planning,-1.4862225684291424,Transportation Operations,"Transportation Operations, Facility Management, Civil Engineering, Building Codes, Architectural Design, Forecasting, Spatial Data Analysis, Engineering Plans And Specifications, Engineering Calculations, Environmental Regulations, Infrastructure Architecture, Capacity Planning",58,"The course covers airport operations and planning, ICAO standards, runway design, air traffic management, airside capaci",Introduces key concepts and practical applications of None.,Physical Science And Engineering,High,High,Advanced,Physical Science And Engineering,Transportation Operations; Facility Management; Civil Engineering; Building Codes; Architectural Design,Intermediate Knowledge Required,Relevant fundamentals based on prerequisites.,To be recommended,Data Scientist,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,5,0.0,0.07839011773375393,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,2,-1.4862225684291424,1.6376201321915738,0.08333333333333333,60
The Full Stack,-0.0060066731980392835,Application Programming Interface (API),"Application Programming Interface (API), Django (Web Framework), Web Applications, Hypertext Markup Language (HTML), Responsive Web Design, Scalability, Back-End Web Development, Virtual Environment, Cloud Computing, Cascading Style Sheets (CSS), MySQL, Full-Stack Web Development, Javascript, Front-End Web Development",9,"Build a Django app
Build a Django app
Use the full stack
Use the full stack
Configure an environment
Configure an enviro",Introduces key concepts and practical applications of None.,Computer Science,High,High,Intermediate,Computer Science,Application Programming Interface (API); Django (Web Framework); Web Applications; Hypertext Markup Language (HTML); Responsive Web Design,Basic Knowledge Required,Relevant fundamentals based on prerequisites.,To be recommended,AI Engineer,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,3,0.0,0.6190116193458516,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,-0.0060066731980392835,-0.14304067641386847,0.02857142857142857,42
Cloud Computing Technologies - Bachelor's,-0.7139360143955233,Virtual Machines,"Virtual Machines, Cloud Infrastructure, Amazon S3, Amazon Elastic Compute Cloud, Command-Line Interface, Database Management, Scalability, Cloud Storage, Cloud Computing, Infrastructure as Code (IaC), Cloud Computing Architecture, Amazon Web Services, Cloud-Native Computing",1,"Learn how to create infrastructure from Cloud Native APIs in the command line
Learn how to create infrastructure from Cl",Introduces key concepts and practical applications of None.,Information Technology,High,High,Beginner,Information Technology,Virtual Machines; Cloud Infrastructure; Amazon S3; Amazon Elastic Compute Cloud; Command-Line Interface,Not Specified,Relevant fundamentals based on prerequisites.,To be recommended,Backend Developer,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,1,0.0,0.34870086853980276,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,0,-0.7139360143955233,0.27739312561797186,0.041666666666666664,13
Dell Technologies Networking & Security Technical Support,-0.7782932272316583,Network Security,"Network Security, Computer Networking, Cybersecurity, Computer Security Incident Management, Technical Support, Incident Response, Network Protocols, General Networking, Network Administration, Networking Hardware, Cyber Attacks, Cyber Security Policies, Network Troubleshooting, Network Architecture, Threat Detection",65,Not Specified,Introduces key concepts and practical applications of None.,Information Technology,High,High,Intermediate,Information Technology,Network Security; Computer Networking; Cybersecurity; Computer Security Incident Management; Technical Support,Basic Knowledge Required,Relevant fundamentals based on prerequisites.,To be recommended,AI Engineer,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,3,0.0,0.8893223701519004,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,1,-0.7782932272316583,0.6053529967681289,0.043478260869565216,45
Deep Learning - Computer Vision for Beginners Using PyTorch,-0.3921499502148488,PyTorch (Machine Learning Library),"PyTorch (Machine Learning Library), Matplotlib, Artificial Neural Networks, Computer Vision, NumPy, Pandas (Python Package), Deep Learning, Data Manipulation, Image Analysis, Python Programming",39,"Apply gradient descent using AutoGrad.
Apply gradient descent using AutoGrad.
Analyze the LeNet architecture.
Analyze th",Introduces key concepts and practical applications of None.,Data Science,High,High,Intermediate,Data Science,PyTorch (Machine Learning Library); Matplotlib; Artificial Neural Networks; Computer Vision; NumPy,Basic Knowledge Required,Relevant fundamentals based on prerequisites.,To be recommended,AI Engineer,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,3,0.0,-0.4622313838783437,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,1,-0.3921499502148488,-0.3067796013431045,0.034482758620689655,30
Two-Phase Pipe Hydraulics and Pipe Sizing,-1.1644365042484677,Process Engineering,"Process Engineering, Engineering Calculations, Hydraulics, Oil and Gas, Mathematical Modeling, Petroleum Industry, Engineering Analysis, Chemical Engineering, Mechanical Engineering",52,Not Specified,Introduces key concepts and practical applications of None.,Physical Science And Engineering,High,High,Beginner,Physical Science And Engineering,Process Engineering; Engineering Calculations; Hydraulics; Oil and Gas; Mathematical Modeling,Not Specified,Relevant fundamentals based on prerequisites.,To be recommended,Full Stack,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,1,0.0,-0.7325421346843926,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0,-1.1644365042484677,0.24102341955985426,0.058823529411764705,9
