course_id,name,category,difficulty,estimated_hours,goal_role,prerequisites,skills,concept_overlap_group,module_list,url,course_description,course_type,industry_relevance,job_market_demand,skill_level,skill_category,core_skills,prerequisite_level,recommended_background,next_courses,target_roles,career_importance,learning_outcomes,practical_application,assessment_method,difficulty_score,career_value_score,skill_growth_score,num_prerequisites,num_skills,learning_load,skill_density
C011,IBM COBOL Basics,Computer Science,Advanced,57,AI Engineer,Computational Logic,"Computational Logic, Programming Principles, Stored Procedure, Mainframe Computing, Editing, Debugging, COBOL (Programming Language), File Management, Data Structures, Program Development",9,,https://www.coursera.org/learn/ibm-cobol-basics,Introduces key concepts and practical applications of None.,Computer Science,High,High,Advanced,Computer Science,Computational Logic; Programming Principles; Stored Procedure; Mainframe Computing; Editing,Intermediate Knowledge Required,Relevant fundamentals based on prerequisites.,,AI Engineer,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,5,8,8,1,10,57,10
C012,Low Intermediate English: Technology,Language Learning,Intermediate,15,Data Analyst,Grammar,"Grammar, Vocabulary, Technology Solutions, Language Learning, Education Software and Technology, Health Technology, Data Security, Emerging Technologies, Technical Communication, End User Training and Support, English Language, Oral Comprehension, Telecommuting",80,"Talk about devices, apps, and other technology that you use in your everyday life.
Talk about devices, apps, and other t",https://www.coursera.org/learn/low-intermediate-english-technology,Introduces key concepts and practical applications of None.,Language Learning,High,High,Intermediate,Language Learning,Grammar; Vocabulary; Technology Solutions; Language Learning; Education Software and Technology,Basic Knowledge Required,Relevant fundamentals based on prerequisites.,,Data Analyst,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,3,8,8,1,13,15,13
C013,Studying at Japanese Universities,Personal Development,Advanced,60,Data Analyst,Cultural Sensitivity,"Cultural Sensitivity, Language Learning, Cultural Diversity, Research, Intercultural Competence, Higher Education",40,"Japanese university application, enrollment processes, and the different types of programs offered
Japanese university a",https://www.coursera.org/learn/study-in-japan,Introduces key concepts and practical applications of None.,Personal Development,High,High,Advanced,Personal Development,Cultural Sensitivity; Language Learning; Cultural Diversity; Research; Intercultural Competence,Intermediate Knowledge Required,Relevant fundamentals based on prerequisites.,,Data Analyst,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,5,8,8,1,6,60,6
C014,Introduction to Generative AI for Developers With Copilot,Computer Science,Intermediate,51,AI Engineer,Software Development Tools,"Software Development Tools, Code Review, Microsoft Copilot, Generative AI, Responsible AI, Artificial Intelligence, Data Ethics, Software Documentation, Prompt Engineering",41,,https://www.coursera.org/learn/introduction-to-generative-ai-for-developers-with-copilot,Introduces key concepts and practical applications of None.,Computer Science,High,High,Intermediate,Computer Science,Software Development Tools; Code Review; Microsoft Copilot; Generative AI; Responsible AI,Basic Knowledge Required,Relevant fundamentals based on prerequisites.,,AI Engineer,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,3,8,8,1,9,51,9
C015,EU policy and implementation: making Europe work!,Social Sciences,Intermediate,59,Data Analyst,Policy Analysis,"Policy Analysis, Public Policies, Program Evaluation, Governance, Environmental Policy, Research Methodologies, Economics, Policy, and Social Studies, Immigration Law, Policy Development",4,,https://www.coursera.org/learn/eu-making-europe-work,Introduces key concepts and practical applications of None.,Social Sciences,High,High,Intermediate,Social Sciences,Policy Analysis; Public Policies; Program Evaluation; Governance; Environmental Policy,Basic Knowledge Required,Relevant fundamentals based on prerequisites.,,Data Analyst,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,3,8,8,1,11,59,11
C016,Music Composition: Starting a Piece,Arts And Humanities,Beginner,30,Data Analyst,Instrumental Music,"Instrumental Music, Music, Creativity, Musical Composition, Classical Music, Music Theory",73,"Develop strategies for starting a new piece
Develop strategies for starting a new piece
Compose short pieces
Compose sho",https://www.coursera.org/learn/music-composition-starting-a-piece,Introduces key concepts and practical applications of None.,Arts And Humanities,High,High,Beginner,Arts And Humanities,Instrumental Music; Music; Creativity; Musical Composition; Classical Music,Unknown,Relevant fundamentals based on prerequisites.,,Data Analyst,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,1,8,8,1,6,30,6
C017,Decentralized Finance (DeFi) Infrastructure,Business,Advanced,59,Data Scientist,Blockchain,"Blockchain, Financial Regulation, Financial Inclusion, Financial Systems, Governance, Digital Assets, Cryptography, Computer Security, Banking, Interoperability, Encryption, Payment Systems, FinTech",73,"Articulate the history and origins of decentralized finance
Articulate the history and origins of decentralized finance
",https://www.coursera.org/learn/decentralized-finance-infrastructure-duke,Introduces key concepts and practical applications of None.,Business,High,High,Advanced,Business,Blockchain; Financial Regulation; Financial Inclusion; Financial Systems; Governance,Intermediate Knowledge Required,Relevant fundamentals based on prerequisites.,,Data Scientist,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,5,8,8,1,13,59,13
C018,Social Psychology of Attraction and Relationships,Personal Development,Beginner,54,Data Analyst,Cultural Diversity,"Cultural Diversity, Relationship Building, Human Relations Movement, Interpersonal Communications, Psychology, Research, Relationship Management, Behavioral Management",18,Describe foundational concepts in how psychology understands relationships. Identify how each of the four determinants o,https://www.coursera.org/learn/social-psychology-of-attraction-and-relationships,Introduces key concepts and practical applications of None.,Personal Development,High,High,Beginner,Personal Development,Cultural Diversity; Relationship Building; Human Relations Movement; Interpersonal Communications; Psychology,Unknown,Relevant fundamentals based on prerequisites.,,Data Analyst,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,1,8,8,1,8,54,8
C019,Introduction to Self-Driving Cars,Computer Science,Advanced,36,ML Engineer,Computer Hardware,"Computer Hardware, Mechanics, Systems Architecture, Automation, Simulation and Simulation Software, Hardware Architecture, Safety Assurance, Mathematical Modeling, Software Architecture, Control Systems",23,"Understand commonly used hardware used for self-driving cars
Understand commonly used hardware used for self-driving car",https://www.coursera.org/learn/intro-self-driving-cars,Introduces key concepts and practical applications of None.,Computer Science,High,High,Advanced,Computer Science,Computer Hardware; Mechanics; Systems Architecture; Automation; Simulation and Simulation Software,Intermediate Knowledge Required,Relevant fundamentals based on prerequisites.,,ML Engineer,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,5,8,8,1,10,36,10
C020,Linear Algebra: Orthogonality and Diagonalization,Data Science,Beginner,25,Data Scientist,Applied Mathematics,"Applied Mathematics, Geometry, Linear Algebra, Numerical Analysis, Mathematical Modeling, Artificial Intelligence and Machine Learning (AI/ML)",32,,https://www.coursera.org/learn/orthogonality-and-diagonalization,Introduces key concepts and practical applications of None.,Data Science,High,High,Beginner,Data Science,Applied Mathematics; Geometry; Linear Algebra; Numerical Analysis; Mathematical Modeling,Unknown,Relevant fundamentals based on prerequisites.,,Data Scientist,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,1,8,8,1,6,25,6
C021,Introduction to Hardware and Operating Systems,Information Technology,Advanced,60,ML Engineer,Disaster Recovery,"Disaster Recovery, Linux, User Accounts, System Configuration, Hardware Troubleshooting, Mac OS, Operating Systems, Software Installation, USB, File Systems, Computer Hardware, Computing Platforms, Computer Architecture, Computer Systems, Technical Support, Network Infrastructure, Data Storage, Virtualization and Virtual Machines, Peripheral Devices, Virtual Machines",4,"Identify the hardware components of desktops, laptops, and other devices, plus operating system functions, settings, and",https://www.coursera.org/learn/introduction-to-hardware-and-operating-systems,Introduces key concepts and practical applications of None.,Information Technology,High,High,Advanced,Information Technology,Disaster Recovery; Linux; User Accounts; System Configuration; Hardware Troubleshooting,Intermediate Knowledge Required,Relevant fundamentals based on prerequisites.,,ML Engineer,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,5,8,8,1,20,60,20
C022,Introduction to Operations Management,Business,Intermediate,26,AI Engineer,Operational Efficiency,"Operational Efficiency, Process Analysis, Continuous Improvement Process, Supply Chain Management, Inventory Management System, Operations Management, Process Improvement, Statistical Process Controls, Lean Methodologies, Process Management, Workflow Management, Capacity Planning, Quality Management, Root Cause Analysis, Process Flow Diagrams",19,"You will learn to analyze processes, optimize flow, and manage variability, driving improvements and achieving excellenc",https://www.coursera.org/learn/wharton-operations,Introduces key concepts and practical applications of None.,Business,High,High,Intermediate,Business,Operational Efficiency; Process Analysis; Continuous Improvement Process; Supply Chain Management; Inventory Management System,Basic Knowledge Required,Relevant fundamentals based on prerequisites.,,AI Engineer,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,3,8,8,1,15,26,15
C023,Creating a Workplace People Want to Be,Social Sciences,Beginner,53,Data Scientist,Culture Transformation,"Culture Transformation, Resilience, Communication, Organizational Leadership, Workplace Bullying Intervention, Strategic Leadership, Mental Health, Employee Engagement, Stress Management, Organizational Development, Leadership, Employee Performance Management, Occupational Safety And Health, Diversity Equity and Inclusion Initiatives",1,"Learn how to shape policies that reduce stigma, create support systems, and ensure leadership at all levels is equipped ",https://www.coursera.org/learn/where-people-want-to-be,Introduces key concepts and practical applications of None.,Social Sciences,High,High,Beginner,Social Sciences,Culture Transformation; Resilience; Communication; Organizational Leadership; Workplace Bullying Intervention,Unknown,Relevant fundamentals based on prerequisites.,,Data Scientist,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,1,8,8,1,14,53,14
C024,Applied Machine Learning in Python,Data Science,Beginner,44,ML Engineer,Predictive Modeling,"Predictive Modeling, Python Programming, Regression Analysis, Applied Machine Learning, Scikit Learn (Machine Learning Library), Feature Engineering, Decision Tree Learning, Machine Learning, Random Forest Algorithm, Dimensionality Reduction, Unsupervised Learning, Supervised Learning",73,"Describe how machine learning is different than descriptive statistics
Describe how machine learning is different than d",https://www.coursera.org/learn/python-machine-learning,Introduces key concepts and practical applications of None.,Data Science,High,High,Beginner,Data Science,Predictive Modeling; Python Programming; Regression Analysis; Applied Machine Learning; Scikit Learn (Machine Learning Library),Unknown,Relevant fundamentals based on prerequisites.,,ML Engineer,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,1,8,8,1,12,44,12
C025,SOP Writing Mastery: Craft Statements That Stand Out,Personal Development,Intermediate,60,Data Scientist,Concision,"Concision, Self-Awareness, Intercultural Competence, Storytelling, Adaptability, Constructive Feedback, Continuous Improvement Process, Content Creation, Generative AI Agents, Writing, Editing",54,"Understand the structure, role, and significance of SOPs in academic admissions and professional applications to strengt",https://www.coursera.org/learn/mastering-statement-of-purpose-sop-writing,Introduces key concepts and practical applications of None.,Personal Development,High,High,Intermediate,Personal Development,Concision; Self-Awareness; Intercultural Competence; Storytelling; Adaptability,Basic Knowledge Required,Relevant fundamentals based on prerequisites.,,Data Scientist,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,3,8,8,1,11,60,11
C026,Snowflake - Build and Architect Data Pipelines Using AWS,Information Technology,Beginner,27,Data Analyst,Data Lakes,"Data Lakes, Apache Kafka, Real Time Data, Performance Tuning, SQL, Data Processing, Data Architecture, Snowflake Schema, Amazon Web Services, Data Pipelines, Apache Airflow, Amazon S3, PySpark, Data Governance, Stored Procedure, Data Infrastructure, Extract, Transform, Load, Data Security, Data Warehousing, Data Management",43,"Architect and optimize scalable data pipelines with Snowflake and AWS.
Architect and optimize scalable data pipelines wi",https://www.coursera.org/learn/packt-snowflake-build-and-architect-data-pipelines-using-aws-f8fn8,Introduces key concepts and practical applications of None.,Information Technology,High,High,Beginner,Information Technology,Data Lakes; Apache Kafka; Real Time Data; Performance Tuning; SQL,Unknown,Relevant fundamentals based on prerequisites.,,Data Analyst,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,1,8,8,1,22,27,22
C027,Learning for a Sustainable Future,Physical Science And Engineering,Beginner,53,Backend Developer,Sustainability Standards,"Sustainability Standards, Collaboration, Environmental Issue, Action Oriented, Teaching, Personal Development, Sustainable Development, Socioeconomics, Complex Problem Solving, Self-Awareness, Systems Thinking, Cultural Diversity, Visionary",33,"Critically reflect upon understandings of the range, scope and nature of 'sustainability'; and consider the role of pers",https://www.coursera.org/learn/learning-for-a-sustainable-future,Introduces key concepts and practical applications of None.,Physical Science And Engineering,High,High,Beginner,Physical Science And Engineering,Sustainability Standards; Collaboration; Environmental Issue; Action Oriented; Teaching,Unknown,Relevant fundamentals based on prerequisites.,,Backend Developer,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,1,8,8,1,13,53,13
C028,Airside Facility Planning,Physical Science And Engineering,Advanced,12,Data Scientist,Transportation Operations,"Transportation Operations, Facility Management, Civil Engineering, Building Codes, Architectural Design, Forecasting, Spatial Data Analysis, Engineering Plans And Specifications, Engineering Calculations, Environmental Regulations, Infrastructure Architecture, Capacity Planning",58,"The course covers airport operations and planning, ICAO standards, runway design, air traffic management, airside capaci",https://www.coursera.org/learn/airside-facility-planning,Introduces key concepts and practical applications of None.,Physical Science And Engineering,High,High,Advanced,Physical Science And Engineering,Transportation Operations; Facility Management; Civil Engineering; Building Codes; Architectural Design,Intermediate Knowledge Required,Relevant fundamentals based on prerequisites.,,Data Scientist,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,5,8,8,1,12,12,12
C029,The Full Stack,Computer Science,Intermediate,35,AI Engineer,Application Programming Interface (API),"Application Programming Interface (API), Django (Web Framework), Web Applications, Hypertext Markup Language (HTML), Responsive Web Design, Scalability, Back-End Web Development, Virtual Environment, Cloud Computing, Cascading Style Sheets (CSS), MySQL, Full-Stack Web Development, Javascript, Front-End Web Development",9,"Build a Django app
Build a Django app
Use the full stack
Use the full stack
Configure an environment
Configure an enviro",https://www.coursera.org/learn/the-full-stack,Introduces key concepts and practical applications of None.,Computer Science,High,High,Intermediate,Computer Science,Application Programming Interface (API); Django (Web Framework); Web Applications; Hypertext Markup Language (HTML); Responsive Web Design,Basic Knowledge Required,Relevant fundamentals based on prerequisites.,,AI Engineer,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,3,8,8,1,14,35,14
C030,Cloud Computing Technologies - Bachelor's,Information Technology,Beginner,24,Backend Developer,Virtual Machines,"Virtual Machines, Cloud Infrastructure, Amazon S3, Amazon Elastic Compute Cloud, Command-Line Interface, Database Management, Scalability, Cloud Storage, Cloud Computing, Infrastructure as Code (IaC), Cloud Computing Architecture, Amazon Web Services, Cloud-Native Computing",1,"Learn how to create infrastructure from Cloud Native APIs in the command line
Learn how to create infrastructure from Cl",https://www.coursera.org/learn/illinois-tech-cloud-computing-technologies-bit,Introduces key concepts and practical applications of None.,Information Technology,High,High,Beginner,Information Technology,Virtual Machines; Cloud Infrastructure; Amazon S3; Amazon Elastic Compute Cloud; Command-Line Interface,Unknown,Relevant fundamentals based on prerequisites.,,Backend Developer,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,1,8,8,1,13,24,13
C031,Dell Technologies Networking & Security Technical Support,Information Technology,Intermediate,23,AI Engineer,Network Security,"Network Security, Computer Networking, Cybersecurity, Computer Security Incident Management, Technical Support, Incident Response, Network Protocols, General Networking, Network Administration, Networking Hardware, Cyber Attacks, Cyber Security Policies, Network Troubleshooting, Network Architecture, Threat Detection",65,,https://www.coursera.org/learn/dell-technical-support-for-networking-and-security,Introduces key concepts and practical applications of None.,Information Technology,High,High,Intermediate,Information Technology,Network Security; Computer Networking; Cybersecurity; Computer Security Incident Management; Technical Support,Basic Knowledge Required,Relevant fundamentals based on prerequisites.,,AI Engineer,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,3,8,8,1,15,23,15
C032,Deep Learning - Computer Vision for Beginners Using PyTorch,Data Science,Intermediate,29,AI Engineer,PyTorch (Machine Learning Library),"PyTorch (Machine Learning Library), Matplotlib, Artificial Neural Networks, Computer Vision, NumPy, Pandas (Python Package), Deep Learning, Data Manipulation, Image Analysis, Python Programming",39,"Apply gradient descent using AutoGrad.
Apply gradient descent using AutoGrad.
Analyze the LeNet architecture.
Analyze th",https://www.coursera.org/learn/packt-deep-learning-computer-vision-for-beginners-using-pytorch-zbw0x,Introduces key concepts and practical applications of None.,Data Science,High,High,Intermediate,Data Science,PyTorch (Machine Learning Library); Matplotlib; Artificial Neural Networks; Computer Vision; NumPy,Basic Knowledge Required,Relevant fundamentals based on prerequisites.,,AI Engineer,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,3,8,8,1,10,29,10
C033,Two-Phase Pipe Hydraulics and Pipe Sizing,Physical Science And Engineering,Beginner,17,Full Stack,Process Engineering,"Process Engineering, Engineering Calculations, Hydraulics, Oil and Gas, Mathematical Modeling, Petroleum Industry, Engineering Analysis, Chemical Engineering, Mechanical Engineering",52,,https://www.coursera.org/learn/two-phase-pipe-hydraulics-and-pipe-sizing,Introduces key concepts and practical applications of None.,Physical Science And Engineering,High,High,Beginner,Physical Science And Engineering,Process Engineering; Engineering Calculations; Hydraulics; Oil and Gas; Mathematical Modeling,Unknown,Relevant fundamentals based on prerequisites.,,Full Stack,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,1,8,8,1,9,17,9
C034,Machine Learning,Data Science,Advanced,20,ML Engineer,Artificial Neural Networks,"Artificial Neural Networks, Supervised Learning, Image Analysis, NumPy, Scikit Learn (Machine Learning Library), Regression Analysis, Pandas (Python Package), Machine Learning, Matplotlib, Deep Learning, Unstructured Data, Natural Language Processing, Performance Tuning, Tensorflow, Text Mining, Python Programming",40,"Learn to frame real-world challenges as machine learning problems. 
Gain hands-on experience using Python to build and e",https://www.coursera.org/learn/machine-learning-1,Introduces key concepts and practical applications of None.,Data Science,High,High,Advanced,Data Science,Artificial Neural Networks; Supervised Learning; Image Analysis; NumPy; Scikit Learn (Machine Learning Library),Intermediate Knowledge Required,Relevant fundamentals based on prerequisites.,,ML Engineer,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,5,8,8,1,16,20,16
C035,Fundamentals of Natural Language Processing,Computer Science,Intermediate,10,Data Analyst,Machine Learning,"Machine Learning, Deep Learning, Statistical Modeling, Data Processing, Supervised Learning, Algorithms, Artificial Intelligence and Machine Learning (AI/ML), Unstructured Data, Text Mining, Probability & Statistics, Regression Analysis, Natural Language Processing",49,"Analyze corpora to develop effective lexicons using subword tokenization.
Analyze corpora to develop effective lexicons ",https://www.coursera.org/learn/fundamentals-natural-language-processing,Introduces key concepts and practical applications of None.,Computer Science,High,High,Intermediate,Computer Science,Machine Learning; Deep Learning; Statistical Modeling; Data Processing; Supervised Learning,Basic Knowledge Required,Relevant fundamentals based on prerequisites.,,Data Analyst,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,3,8,8,1,12,10,12
C036,Aromatherapy: Clinical Use of Essential Oils,Health,Intermediate,29,Data Scientist,Stress Management,"Stress Management, Pain Management, Patient Safety, Science and Research, Clinical Practices, Regulatory Compliance, Nursing Practices, Patient Education And Counseling, Clinical Research, Contraindication",61,"Describe the current and potential role of aromatherapy in health and healthcare.
Describe the current and potential rol",https://www.coursera.org/learn/aromatherapy-clinical-use-essential-oils,Introduces key concepts and practical applications of None.,Health,High,High,Intermediate,Health,Stress Management; Pain Management; Patient Safety; Science and Research; Clinical Practices,Basic Knowledge Required,Relevant fundamentals based on prerequisites.,,Data Scientist,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,3,8,8,1,10,29,10
C037,Understanding child development: from synapse to society,Social Sciences,Beginner,42,AI Engineer,Developmental Disabilities,"Developmental Disabilities, Systems Thinking, Cultural Diversity, Speech Language Pathology, Neurology, Child Development, Human Development, Pediatrics, Research",59,,https://www.coursera.org/learn/child-development,Introduces key concepts and practical applications of None.,Social Sciences,High,High,Beginner,Social Sciences,Developmental Disabilities; Systems Thinking; Cultural Diversity; Speech Language Pathology; Neurology,Unknown,Relevant fundamentals based on prerequisites.,,AI Engineer,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,1,8,8,1,9,42,9
C038,Introduction to Ableton Live,Arts And Humanities,Intermediate,52,Data Scientist,Editing,"Editing, Music, Technical Support, Automation, Creativity, File Management",56,"Navigate Ableton Live
Navigate Ableton Live
Program MIDI drums and instruments
Program MIDI drums and instruments
Record",https://www.coursera.org/learn/ableton-live,Introduces key concepts and practical applications of None.,Arts And Humanities,High,High,Intermediate,Arts And Humanities,Editing; Music; Technical Support; Automation; Creativity,Basic Knowledge Required,Relevant fundamentals based on prerequisites.,,Data Scientist,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,3,8,8,1,6,52,6
